Text,Sentiment,Sentiment_Category,Cleaned_Text,Polarity,Predicted_Sentiment,Word_Count
Enjoying a beautiful day at the park!,Positive,Positive,enjoying beautiful day park,1.0,Positive,4
Traffic was terrible this morning.,Negative,Negative,traffic terrible morning,-1.0,Negative,3
Just finished an amazing workout! 💪,Positive,Positive,finished amazing workout,1.0,Positive,3
Excited about the upcoming weekend getaway!,Positive,Positive,excited upcoming weekend getaway,1.0,Positive,4
Trying out a new recipe for dinner tonight.,Neutral,Neutral,trying new recipe dinner tonight,0.0,Neutral,5
Feeling grateful for the little things in life.,Positive,Positive,feeling grateful little things life,1.0,Positive,5
Rainy days call for cozy blankets and hot cocoa.,Positive,Positive,rainy days call cozy blankets hot cocoa,0.0,Neutral,7
The new movie release is a must-watch!,Positive,Positive,new movie release mustwatch,0.0,Neutral,4
Political discussions heating up on the timeline.,Negative,Negative,political discussions heating timeline,0.0,Neutral,4
Missing summer vibes and beach days.,Neutral,Neutral,missing summer vibes beach days,0.0,Neutral,5
Just published a new blog post. Check it out!,Positive,Positive,published new blog post check,0.0,Neutral,5
Feeling a bit under the weather today.,Negative,Negative,feeling bit weather today,0.0,Neutral,4
Exploring the city's hidden gems.,Positive,Positive,exploring citys hidden gems,0.0,Neutral,4
"New year, new fitness goals! 💪",Positive,Positive,new year new fitness goals,0.0,Neutral,5
Technology is changing the way we live.,Neutral,Neutral,technology changing way live,0.0,Neutral,4
Reflecting on the past and looking ahead.,Positive,Positive,reflecting past looking ahead,0.0,Neutral,4
Just adopted a cute furry friend! 🐾,Positive,Positive,adopted cute furry friend,0.0,Neutral,4
Late-night gaming session with friends.,Positive,Positive,latenight gaming session friends,0.0,Neutral,4
Attending a virtual conference on AI.,Neutral,Neutral,attending virtual conference,0.0,Neutral,3
Winter blues got me feeling low.,Negative,Negative,winter blues feeling low,0.0,Neutral,4
Sipping coffee and enjoying a good book.,Positive,Positive,sipping coffee enjoying good book,1.0,Positive,5
Exploring the world of virtual reality.,Positive,Positive,exploring world virtual reality,0.0,Neutral,4
Productive day ticking off my to-do list.,Positive,Positive,productive day ticking todo list,0.0,Neutral,5
Just finished a challenging workout routine.,Positive,Positive,finished challenging workout routine,0.0,Neutral,4
Celebrating a milestone at work! 🎉,Positive,Positive,celebrating milestone work,0.0,Neutral,3
Sunday brunch with friends.,Positive,Positive,sunday brunch friends,0.0,Neutral,3
Learning a new language for personal growth.,Positive,Positive,learning new language personal growth,0.0,Neutral,5
Quiet evening with a good book.,Positive,Positive,quiet evening good book,1.0,Positive,4
Reflecting on the importance of mental health.,Positive,Positive,reflecting importance mental health,0.0,Neutral,4
New painting in progress! 🎨,Positive,Positive,new painting progress,0.0,Neutral,3
Weekend road trip to explore scenic views.,Positive,Positive,weekend road trip explore scenic views,0.0,Neutral,6
Enjoying a cup of tea and watching the sunset.,Positive,Positive,enjoying cup tea watching sunset,0.0,Neutral,5
Coding a new project with enthusiasm.,Positive,Positive,coding new project enthusiasm,0.0,Neutral,4
Feeling inspired after attending a workshop.,Positive,Positive,feeling inspired attending workshop,0.0,Neutral,4
Winter sports day at the local park.,Positive,Positive,winter sports day local park,0.0,Neutral,5
Quality time with family this weekend.,Positive,Positive,quality time family weekend,0.0,Neutral,4
Attending a live music concert tonight.,Positive,Positive,attending live music concert tonight,0.0,Neutral,5
Practicing mindfulness with meditation.,Positive,Positive,practicing mindfulness meditation,0.0,Neutral,3
Trying out a new dessert recipe.,Positive,Positive,trying new dessert recipe,0.0,Neutral,4
Excited about the upcoming gaming tournament.,Positive,Positive,excited upcoming gaming tournament,1.0,Positive,4
Planning a garden makeover for spring.,Positive,Positive,planning garden makeover spring,0.0,Neutral,4
Celebrating a friend's birthday tonight! 🎂,Positive,Positive,celebrating friends birthday tonight,0.0,Neutral,4
Feeling accomplished after a productive day.,Positive,Positive,feeling accomplished productive day,0.0,Neutral,4
A cozy evening with a good movie.,Positive,Positive,cozy evening good movie,1.0,Positive,4
Exploring local art galleries this weekend.,Positive,Positive,exploring local art galleries weekend,0.0,Neutral,5
New book release from my favorite author!,Positive,Positive,new book release favorite author,0.0,Neutral,5
Attending a virtual reality meetup.,Positive,Positive,attending virtual reality meetup,0.0,Neutral,4
Reflecting on the beauty of nature.,Positive,Positive,reflecting beauty nature,0.0,Neutral,3
Cooking a special dinner for loved ones.,Positive,Positive,cooking special dinner loved ones,0.0,Neutral,5
Feeling optimistic about the week ahead.,Positive,Positive,feeling optimistic week ahead,0.0,Neutral,4
Starting a new fitness challenge tomorrow! 💪,Positive,Positive,starting new fitness challenge tomorrow,0.0,Neutral,5
Sunday bike ride through scenic trails.,Positive,Positive,sunday bike ride scenic trails,0.0,Neutral,5
Can't believe the injustice happening in our society.,Anger,Negative,cant believe injustice happening society,0.0,Neutral,5
Feeling a sense of fear after watching a thriller movie.,Fear,Negative,feeling sense fear watching thriller movie,-1.0,Negative,6
Heartbroken after hearing the news about a natural disaster.,Sadness,Negative,heartbroken hearing news natural disaster,0.0,Neutral,5
The state of the world's environment is just disgusting.,Disgust,Negative,state worlds environment disgusting,-1.0,Negative,4
Pure happiness: celebrating a loved one's achievement!,Happiness,Positive,pure happiness celebrating loved ones achievement,0.0,Neutral,6
Laughter is the best medicine—enjoying a comedy show.,Joy,Positive,laughter best medicineenjoying comedy show,1.0,Positive,5
Sharing love and positive vibes with everyone! ❤️,Love,Positive,sharing love positive vibes everyone,1.0,Positive,5
An amusing incident brightened up my day!,Amusement,Positive,amusing incident brightened day,0.0,Neutral,4
Enjoying a quiet evening with a book and some tea.,Enjoyment,Positive,enjoying quiet evening book tea,0.0,Neutral,5
Admiring the beauty of nature during a peaceful hike.,Admiration,Positive,admiring beauty nature peaceful hike,0.0,Neutral,5
Sending affectionate vibes to all my followers!,Affection,Positive,sending affectionate vibes followers,0.0,Neutral,4
Experiencing awe at the breathtaking sunset.,Awe,Positive,experiencing awe breathtaking sunset,0.0,Neutral,4
Disappointed with the service at a local restaurant.,Disappointed,Negative,disappointed service local restaurant,0.0,Neutral,4
A surprise gift from a friend made my day!,Surprise,Neutral,surprise gift friend made day,0.0,Neutral,5
Finding acceptance in the midst of life's challenges.,Acceptance,Neutral,finding acceptance midst lifes challenges,0.0,Neutral,5
Overflowing with adoration for my adorable pet! 🐾,Adoration,Positive,overflowing adoration adorable pet,0.0,Neutral,4
Anticipating a thrilling adventure in the coming weeks.,Anticipation,Positive,anticipating thrilling adventure coming weeks,0.0,Neutral,5
A bitter experience turned into a valuable lesson.,Bitter,Negative,bitter experience turned valuable lesson,0.0,Neutral,5
Finding calmness in the midst of a busy day.,Calmness,Positive,finding calmness midst busy day,0.0,Neutral,5
Confusion clouds my mind as I navigate through decisions.,Confusion,Neutral,confusion clouds mind navigate decisions,0.0,Neutral,5
Excitement building up for the upcoming vacation!,Excitement,Positive,excitement building upcoming vacation,0.0,Neutral,4
Kindness witnessed today restored my faith in humanity.,Kind,Positive,kindness witnessed today restored faith humanity,0.0,Neutral,6
Pride in achieving a personal milestone.,Pride,Positive,pride achieving personal milestone,0.0,Neutral,4
A moment of shame for not standing up against injustice.,Shame,Negative,moment shame standing injustice,0.0,Neutral,4
Fuming with anger after a heated argument.,Anger,Negative,fuming anger heated argument,0.0,Neutral,4
The fear of the unknown is keeping me up at night.,Fear,Negative,fear unknown keeping night,-1.0,Negative,4
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,Negative,heartfelt sadness bidding farewell dear friend,0.0,Neutral,6
The state of corruption in our society is utterly disgusting.,Disgust,Negative,state corruption society utterly disgusting,-1.0,Negative,5
Overflowing happiness: welcoming a new family member!,Happiness,Positive,overflowing happiness welcoming new family member,0.0,Neutral,6
Laughter is the key to joy—attending a stand-up comedy show.,Joy,Positive,laughter key joyattending standup comedy show,0.0,Neutral,6
Sending love to all my followers on this beautiful day! ❤️,Love,Positive,sending love followers beautiful day,1.0,Positive,5
Amused by the antics of my pet—it's pure amusement!,Amusement,Positive,amused antics petits pure amusement,0.0,Neutral,5
Enjoying every moment of this trip—pure enjoyment!,Enjoyment,Positive,enjoying every moment trippure enjoyment,0.0,Neutral,5
Admiring the dedication of volunteers at a local charity.,Admiration,Positive,admiring dedication volunteers local charity,0.0,Neutral,5
